experiment_id,job_id,results_file,package_id,package_name,worker_id,config_id,replicate_no,setup_time,run_time,collect_time,hw_cpu_arch,hw_cpu_mhz,hw_num_cpus,hw_page_sz,hw_ram_sz,sw_address_randomization,sw_autogroup,sw_compiler,sw_drop_caches,sw_env_padding,sw_filesystem,sw_freq_scaling,sw_link_order,sw_opt_flag,sw_swap,config,NO_ASM,NO_8X8DCT,NO_CABAC,NO_DEBLOCK,NO_FAST_PSKIP,NO_MBTREE,NO_MIXED_REFS,NO_WEIGHTB,RC_LOOKAHEAD,REF,size,time
326,34567,34567.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,103,0,514,219.973665952682,33.5925049781799,0.133116960525513,i686,3200,2,4096,902464,on,off,gcc,off,0,ext4,off,default,-O2,on,102,--no-asm,,,--no-deblock,,,--no-mixed-refs,,--rc-lookahead-20,--ref-5,292,33.48
326,37524,37524.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,91,0,593,277.840269804001,59.2454600334167,0.168315887451172,i686,2400,1,4096,1033092,on,off,gcc,off,0,ext4,off,default,-O2,on,118,--no-asm,,,--no-deblock,,--no-mbtree,--no-mixed-refs,--no-weightb,--rc-lookahead-20,--ref-5,572,59.1
326,48886,48886.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,81,0,443,75.1850991249084,3.45705318450928,0.135820150375366,x86_64,2411,16,4096,32965280,on,off,gcc,off,0,ext4,off,default,-O2,on,88,--no-asm,,,,,--no-mbtree,--no-mixed-refs,,--rc-lookahead-40,--ref-1,576,3.33
326,45859,45859.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,75,0,294,200.184900045395,23.4212138652802,0.18327808380127,i686,3200,2,4096,1000436,on,off,gcc,off,0,ext4,off,default,-O2,on,58,--no-asm,,,,,,--no-mixed-refs,,--rc-lookahead-60,--ref-1,292,23.29
326,32194,32194.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,128,0,1019,202.986603975296,30.870964050293,0.133876800537109,i686,2993,2,4096,2072552,on,off,gcc,off,0,ext4,off,default,-O2,on,203,--no-asm,,,,,--no-mbtree,--no-mixed-refs,--no-weightb,--rc-lookahead-40,--ref-9,564,30.76
326,29347,29347.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,105,0,1050,208.473992109299,58.3929250240326,0.150254011154175,i686,3200,2,4096,902464,on,off,gcc,off,0,ext4,off,default,-O2,on,210,--no-asm,,,,,--no-mbtree,,--no-weightb,--rc-lookahead-60,--ref-5,568,58.24
326,41781,41781.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,533,183.43164396286,62.8705129623413,0.124858856201172,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,106,--no-asm,,,,--no-fast-pskip,--no-mbtree,--no-mixed-refs,--no-weightb,--rc-lookahead-40,--ref-5,568,62.77
326,48311,48311.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,98,0,1307,218.877820968628,26.2373161315918,0.124894142150879,i686,2992,2,4096,894272,on,off,gcc,off,0,ext4,off,default,-O2,on,261,--no-asm,,,--no-deblock,--no-fast-pskip,,--no-mixed-refs,,--rc-lookahead-60,--ref-1,304,26.11
326,41133,41133.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,97,0,1324,203.723191022873,26.7898809909821,0.133479118347168,i686,2992,2,4096,894176,on,off,gcc,off,0,ext4,off,default,-O2,on,264,--no-asm,,,,--no-fast-pskip,,,--no-weightb,--rc-lookahead-60,--ref-1,300,26.65
326,49199,49199.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,81,0,756,77.1834650039673,3.50276303291321,0.174997091293335,x86_64,2411,16,4096,32965280,on,off,gcc,off,0,ext4,off,default,-O2,on,151,--no-asm,,,--no-deblock,--no-fast-pskip,--no-mbtree,--no-mixed-refs,--no-weightb,--rc-lookahead-40,--ref-1,588,3.37
326,42771,42771.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,106,0,84,210.765712976456,24.7584629058838,0.116724967956543,i686,3192,2,4096,505664,on,off,gcc,off,0,ext4,off,default,-O2,on,16,--no-asm,,,--no-deblock,--no-fast-pskip,,--no-mixed-refs,--no-weightb,--rc-lookahead-40,--ref-1,304,24.63
326,34474,34474.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,103,0,421,221.954251050949,30.0906019210815,0.134252071380615,i686,3200,2,4096,902464,on,off,gcc,off,0,ext4,off,default,-O2,on,84,--no-asm,,,,,--no-mbtree,--no-mixed-refs,--no-weightb,--rc-lookahead-60,--ref-1,576,29.97
326,46342,46342.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,75,0,777,202.323991060257,82.3287541866302,0.208379983901978,i686,3200,2,4096,1000436,on,off,gcc,off,0,ext4,off,default,-O2,on,155,--no-asm,,,--no-deblock,--no-fast-pskip,--no-mbtree,,--no-weightb,--rc-lookahead-60,--ref-9,580,82.17
326,31457,31457.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,128,0,282,200.147462129593,19.7215988636017,0.202112913131714,i686,2993,2,4096,2072552,on,off,gcc,off,0,ext4,off,default,-O2,on,56,--no-asm,,,--no-deblock,,,--no-mixed-refs,--no-weightb,--rc-lookahead-20,--ref-5,292,19.59
326,30860,30860.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,104,0,1124,334.926509141922,146.483679056168,0.200478792190552,i686,1800,1,4096,514076,on,off,gcc,off,0,ext4,off,default,-O2,on,224,--no-asm,,,,,--no-mbtree,,,--rc-lookahead-60,--ref-9,568,146.32999999999998
326,48481,48481.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,81,0,38,73.7029049396515,10.2823901176453,0.158343076705933,x86_64,2411,16,4096,32965280,on,off,gcc,off,0,ext4,off,default,-O2,on,7,--no-asm,,,,,--no-mbtree,,--no-weightb,--rc-lookahead-40,--ref-9,568,10.12
326,29674,29674.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,105,0,1377,208.533199071884,30.0080962181091,0.150193929672241,i686,3200,2,4096,902464,on,off,gcc,off,0,ext4,off,default,-O2,on,275,--no-asm,,,--no-deblock,,--no-mbtree,--no-mixed-refs,,--rc-lookahead-20,--ref-1,584,29.85
326,47401,47401.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,98,0,397,220.389986991882,43.7370541095734,0.12488579750061,i686,2992,2,4096,894272,on,off,gcc,off,0,ext4,off,default,-O2,on,79,--no-asm,,,,,--no-mbtree,--no-mixed-refs,,--rc-lookahead-40,--ref-5,564,43.62
326,40568,40568.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,97,0,759,206.436219930649,32.2059669494629,0.125141143798828,i686,2992,2,4096,894176,on,off,gcc,off,0,ext4,off,default,-O2,on,151,--no-asm,,,--no-deblock,--no-fast-pskip,--no-mbtree,--no-mixed-refs,--no-weightb,--rc-lookahead-40,--ref-1,588,32.08
326,43657,43657.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,106,0,970,212.970434904099,56.1620352268219,0.133318901062012,i686,3192,2,4096,505664,on,off,gcc,off,0,ext4,off,default,-O2,on,194,--no-asm,,,--no-deblock,--no-fast-pskip,,--no-mixed-refs,--no-weightb,--rc-lookahead-40,--ref-9,304,56.04
326,48927,48927.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,81,0,484,73.2355480194092,7.47299814224243,0.13582706451416,x86_64,2411,16,4096,32965280,on,off,gcc,off,0,ext4,off,default,-O2,on,96,--no-asm,,,,--no-fast-pskip,--no-mbtree,,,--rc-lookahead-60,--ref-5,572,7.21
326,34193,34193.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,103,0,140,222.330596923828,44.2487909793854,0.133183002471924,i686,3200,2,4096,902464,on,off,gcc,off,0,ext4,off,default,-O2,on,28,--no-asm,,,--no-deblock,,,,,--rc-lookahead-40,--ref-5,296,44.11
326,31338,31338.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,128,0,163,203.814711093903,18.6540579795837,0.158912897109985,i686,2993,2,4096,2072552,on,off,gcc,off,0,ext4,off,default,-O2,on,32,--no-asm,,,--no-deblock,--no-fast-pskip,--no-mbtree,,,--rc-lookahead-60,--ref-1,588,18.52
326,45787,45787.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,75,0,222,202.830579042435,29.1701068878174,0.158312082290649,i686,3200,2,4096,1000436,on,off,gcc,off,0,ext4,off,default,-O2,on,44,--no-asm,,,,,--no-mbtree,--no-mixed-refs,,--rc-lookahead-20,--ref-1,576,28.95
326,49279,49279.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,81,0,836,73.7485110759735,5.1969358921051,0.141361951828003,x86_64,2411,16,4096,32965280,on,off,gcc,off,0,ext4,off,default,-O2,on,167,--no-asm,,,,--no-fast-pskip,--no-mbtree,--no-mixed-refs,,--rc-lookahead-40,--ref-5,568,5.06
326,29298,29298.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,105,0,1001,208.429890871048,42.4170069694519,0.125179767608643,i686,3200,2,4096,902464,on,off,gcc,off,0,ext4,off,default,-O2,on,200,--no-asm,,,--no-deblock,,--no-mbtree,--no-mixed-refs,,--rc-lookahead-40,--ref-5,572,42.29
326,47096,47096.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,98,0,92,219.595196962357,35.6118850708008,0.10826587677002,i686,2992,2,4096,894272,on,off,gcc,off,0,ext4,off,default,-O2,on,18,--no-asm,,,--no-deblock,,,--no-mixed-refs,,--rc-lookahead-40,--ref-5,292,35.49
326,40522,40522.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,97,0,713,201.703435182571,25.4975919723511,0.133466005325317,i686,2992,2,4096,894176,on,off,gcc,off,0,ext4,off,default,-O2,on,142,--no-asm,,,--no-deblock,,,,--no-weightb,--rc-lookahead-40,--ref-1,296,25.38
326,41735,41735.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,487,183.111574888229,62.7214748859406,0.124850988388062,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,97,--no-asm,,,--no-deblock,--no-fast-pskip,--no-mbtree,--no-mixed-refs,--no-weightb,--rc-lookahead-20,--ref-5,576,62.61
326,43940,43940.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,106,0,1253,212.412676095963,57.0125861167908,0.133379936218262,i686,3192,2,4096,505664,on,off,gcc,off,0,ext4,off,default,-O2,on,250,--no-asm,,,,,--no-mbtree,--no-mixed-refs,,--rc-lookahead-60,--ref-9,564,56.89
326,31493,31493.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,128,0,318,203.621932983398,41.0258131027222,0.167348146438599,i686,2993,2,4096,2072552,on,off,gcc,off,0,ext4,off,default,-O2,on,63,--no-asm,,,--no-deblock,--no-fast-pskip,,,,--rc-lookahead-60,--ref-9,308,40.9
326,38058,38058.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,91,0,1127,278.618783950806,37.506856918335,0.158375024795532,i686,2400,1,4096,1033092,on,off,gcc,off,0,ext4,off,default,-O2,on,225,--no-asm,,,--no-deblock,--no-fast-pskip,,--no-mixed-refs,--no-weightb,--rc-lookahead-60,--ref-1,308,37.38
326,46802,46802.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,75,0,1237,203.22375202179,54.7952039241791,0.183320999145508,i686,3200,2,4096,1000436,on,off,gcc,off,0,ext4,off,default,-O2,on,247,--no-asm,,,--no-deblock,,--no-mbtree,,,--rc-lookahead-20,--ref-5,576,54.68
326,34728,34728.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,103,0,675,220.661907196045,45.3371570110321,0.13313102722168,i686,3200,2,4096,902464,on,off,gcc,off,0,ext4,off,default,-O2,on,135,--no-asm,,,--no-deblock,--no-fast-pskip,--no-mbtree,--no-mixed-refs,--no-weightb,--rc-lookahead-40,--ref-5,576,45.21
326,49092,49092.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,81,0,649,73.462394952774,3.45430898666382,0.141805171966553,x86_64,2411,16,4096,32965280,on,off,gcc,off,0,ext4,off,default,-O2,on,129,--no-asm,,,,,--no-mbtree,,,--rc-lookahead-20,--ref-1,576,3.35
326,28789,28789.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,105,0,492,207.287202835083,58.6691601276398,0.125196933746338,i686,3200,2,4096,902464,on,off,gcc,off,0,ext4,off,default,-O2,on,98,--no-asm,,,--no-deblock,,--no-mbtree,,--no-weightb,--rc-lookahead-40,--ref-5,576,58.56
