collect_time,config_id,experiment_id,hw_cpu_arch,hw_cpu_mhz,hw_gpu_mhz,hw_num_cpus,hw_page_sz,hw_ram_mhz,hw_ram_sz,job_id,package_id,package_name,replicate_no,results_file,run_time,setup_time,sw_address_randomization,sw_autogroup,sw_compiler,sw_drop_caches,sw_env_padding,sw_filesystem,sw_freq_scaling,sw_link_order,sw_opt_flag,sw_swap,sw_sys_time,worker_id,job_id,-bail,-stats,config,journal_mode,mmap_size,page_size,time,synchronous
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,True,config_55,DELETE,268435456,65536,333.223402023,ON
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,True,config_56,MEMORY,0,512,352.64795804,OFF
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,True,config_57,MEMORY,0,512,352.335587025,ON
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,True,config_58,MEMORY,0,65536,331.49267602,OFF
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,True,config_59,MEMORY,0,65536,333.651603937,ON
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,True,config_60,MEMORY,268435456,512,341.19541502,OFF
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,True,config_61,MEMORY,268435456,512,348.335183859,ON
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,True,config_62,MEMORY,268435456,65536,337.940662861,OFF
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,True,config_63,MEMORY,268435456,65536,337.095499992,ON
0.2881519794,0,1114,i686,3200,33,2,4096,400,1000544,132096,2328,sqlite3-options-pkg.tar_2.gz,1,132096.user_results.tar.gz,17787.0986950397,2073.0345010757,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132096,False,False,config_0,DELETE,0,512,220.319941998,OFF
